longitude, latitude, idk
-3.329598,55.938457,48.26
-3.330370,55.938292,48.23
-3.330950,55.938163,48.82
-3.331481,55.938052,49.35
-3.332382,55.937835,50.22
-3.332849,55.937727,50.46
-3.332988,55.937706,50.51
-3.333106,55.937709,50.5
-3.333256,55.937736,50.43
-3.333423,55.937826,49.89
-3.333600,55.937982,48.88
-3.333685,55.938451,47.43
-3.333771,55.938884,46.14
-3.333857,55.939322,45.19
-3.333932,55.939773,44.55
-3.334050,55.940025,44.11
-3.334275,55.940272,43.54
-3.334533,55.940470,43
-3.334823,55.940578,42.52
-3.335134,55.940692,42.2
-3.335563,55.940753,42.16
-3.335992,55.940783,42.13
-3.336325,55.940813,42.06
-3.336743,55.940825,42.12
-3.337204,55.940843,42.64
-3.341721,55.940644,41.62
-3.350530,55.940536,39.03
-3.351077,55.940542,37.92
-3.351581,55.940530,36.99
-3.352128,55.940458,37
-3.352622,55.940344,37.35
-3.353437,55.940140,38.33
-3.353695,55.940128,38.39
-3.353899,55.940158,38.24
-3.354199,55.940266,37.72
-3.354446,55.940434,36.92
-3.354778,55.940831,35.01
-3.355111,55.941263,33.07
-3.355476,55.941678,31.57
-3.355851,55.942044,31.54
-3.356302,55.942531,30.5
-3.356742,55.942964,31.15
-3.356988,55.943342,31.99
-3.357546,55.943889,32
-3.357933,55.944400,31.87
-3.358619,55.945349,31.58
-3.359091,55.945992,30.98
-3.359628,55.946731,31.08
-3.360046,55.947259,31.69
-3.360349,55.947508,31.57
-3.360911,55.947770,30.94
